No	Label	FASTQ_URI
801	E7.75_c86	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1148122/ERR1148122.fastq.gz
802	E7.75_c87	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1148123/ERR1148123.fastq.gz
803	E7.75_c88	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1148124/ERR1148124.fastq.gz
804	E7.75_c89	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1148125/ERR1148125.fastq.gz
805	E7.75_c90	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1148126/ERR1148126.fastq.gz
806	E7.75_c91	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1148127/ERR1148127.fastq.gz
807	E7.75_c92	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1148128/ERR1148128.fastq.gz
808	E7.75_c93	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1148129/ERR1148129.fastq.gz
809	E7.75_c94	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1148130/ERR1148130.fastq.gz
810	E7.75_c95	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1148131/ERR1148131.fastq.gz
811	E7.75_c96	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1148132/ERR1148132.fastq.gz
812	E7.75_c97	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1148133/ERR1148133.fastq.gz
813	E7.75_c98	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1148134/ERR1148134.fastq.gz
814	E7.75_c99	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1148135/ERR1148135.fastq.gz
815	E7.75_c100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1148136/ERR1148136.fastq.gz
